,RIC,name
142,HIAB.HE,CARGOTEC ORD
143,HMb.ST,HENNES AND MAURITZ ORD
144,HNKG_p.DE,HENKEL& KGAA PRF
145,HRMS.PA,HERMES INTL ORD
146,HUH1V.HE,HUHTAMAKI SR I ORD
147,ICAD.PA,ICADE REIT
148,IFXGn.DE,INFINEON TECHNOLOGIES ORD
149,ILD.PA^J21,ILIAD ORD
150,IMCD.AS,IMCD
151,IMTP.PA,IMERYS ORD
152,INGA.AS,ING GROEP ORD
154,INGC.PA^K20,INGENICO GROUP
155,INTER.AS^L22,INTERTRUST GROUP HOLDING ORD WI
156,INVEb.ST,INVESTOR ORD
157,IPN.PA,IPSEN PROMESSES ORD
158,ISOS.PA,IPSOS ORD
159,ISS.CO,ISS A/S
160,JCDX.PA,JCDECAUX ORD
161,KBC.BR,KBC GROEP ORD
162,KCRA.HE,KONECRANES OYJ ORD
163,KEMIRA.HE,KEMIRA OYJ ORD
164,KESKOB.HE,KESKO ORD
165,KINVb.ST,KINNEVIK STK B ORD
166,KNEBV.HE,KONE ORD
167,KPN.AS,KPN-KON.NV ORD
168,LAGA.PA,LAGARDERE SCA ORD
169,LEGD.PA,LEGRAND ORD
170,LHAG.DE,LUFTHANSA ORD
171,LIGHT.AS,SIGNIFY NV ORD
172,LIN.DE,LINDE PLC ORD
173,LOIM.PA,KLEPIERRE REIT
174,LSG.OL,LEROY SEAFOOD ORD
175,LTEN.PA,ALTEN ORD
176,LUN.CO^F22,H.LUNDBECK ORD
177,LVMH.PA,LVMH MOET HENNESSY LOUIS VUITT
178,MAERSKb.CO,MOELLER MAERSK B ORD
179,MBGn.DE,DAIMLER ORD
180,MDM.PA,MAISONS DU MONDE SA WI ORD
181,MERY.PA,MERCIALYS REIT
182,METSB.HE,M-REAL ORD
183,METSO.HE,OUTOTEC OYJ ORD
184,MICP.PA,MICHELIN ORD
185,MMTP.PA,METROPOLE TV ORD
186,MOWI.OL,MOWI ASA ORD
187,MRCG.DE,MERCK ORD
188,MT.AS,ARCELORMITTAL ORD
190,MTXGn.DE,MTU AERO ENGINES ORD
191,MUVGn.DE,MUNICH RE ORD
192,MWDP.PA,WENDEL ORD
193,NAS.OL,NORWEGIAN AIR SHUTTLE ORD
194,NDAFI.HE,NORDEA BANK ABP ORD
195,NDASE.ST,NORDEA BANK ABP ORD
196,NEL.OL,NEL ASA
197,NELES.HE^D22,METSO ORD
198,NESTE.HE,NESTE OYJ ORD
