date,1COVG.DE,AALB.AS,ABB.ST,ABI.BR,ABNd.AS,ACCP.PA,ACKB.BR,AD.AS,ADP.PA,ADSGn.DE,ADYEN.AS,AEGN.AS,AGES.BR,AIR.PA,AIRF.PA,AIRP.PA,AKE.PA,AKER.OL,AKRBP.OL,AKZO.AS,ALFA.ST,ALIVsdb.ST,ALSO.PA,ALTT.PA^D20,ALVG.DE,AM.PA,AMBUb.CO,AMG.AS,AMUN.PA,APAM.AS,ARDS.AS,ARGX.BR,ASMI.AS,ASML.AS,ASRNL.AS,ASSAb.ST,ATCA.AS^A21,ATCOa.ST,ATCOb.ST,ATOS.PA,AXAF.PA,AYV.PA,AZN.ST,BAKKA.OL,BAMN.AS,BAR.BR,BASFn.DE,BAYGn.DE,BEIG.DE,BESI.AS
2024-08-29,0.14260769230769232,0.0,,,0.12363636363636364,0.04046,-0.074,,0.0,,,0.0,0.2559,,-0.01935333333333333,,0.054877777777777775,0.20863333333333334,0.0,,0.060255555555555555,,0.0,,,0.05772631578947368,0.22308,-0.3182,0.0,0.10115,0.0,0.17729999999999999,,,,,,,,0.22666666666666668,,,,0.0,0.4588,0.0,,,,0.09714285714285716
2024-08-30,0.06675833333333334,0.09714285714285716,,,-0.01690434782608696,0.225472,0.11807200000000001,,0.05735,,,-0.002581481481481481,0.016283333333333334,,-0.03755,,0.04011428571428572,-0.0473625,0.085,,0.14976538461538463,,-0.011343478260869564,,,0.0,0.06587843137254902,-0.27065,-0.17028181818181817,0.19730666666666666,-0.061,0.004364406779661018,,,0.15925714285714285,,,,,0.07208,,,,0.04857142857142858,0.123475,-0.09204999999999999,,,,0.063984
2024-08-31,0.06743333333333333,0.1909,,,0.0,0.07543333333333334,0.2023,,0.2294,,,0.0,0.222625,,0.08399999999999999,,0.023433333333333334,0.0,0.0,,0.0,,0.0,,,0.10045714285714284,0.3548,-0.3182,0.3404,0.07986666666666668,0.0,-0.0683,,,0.11315,,,,,0.366,,0.4588,,0.3994,0.2294,-0.2202,,,,0.0
2024-09-01,,,,,,0.29295,,,0.6808,,,,0.4588,,,,,,0.0,,,,0.0,,,,,,,0.7506,,0.3612,,,,,,,,0.4588,,-0.6369,,,,,,,,
2024-09-02,0.048677777777777785,0.20400000000000001,,,0.01126153846153846,0.0,0.06985833333333334,0.11333333333333334,0.068,,,-0.026909090909090907,0.16744285714285714,,-0.08416,,0.015622222222222223,0.10594375,0.06052692307692308,,0.05666666666666667,,0.018153333333333334,,,0.11470909090909091,0.11843939393939394,-0.194175,0.03721111111111111,-0.18409999999999999,0.08017142857142859,-0.04228571428571428,,,0.17,,,,,0.07143125,,,,0.08,0.11839999999999999,0.11592000000000002,,,,0.037
2024-09-03,0.16393333333333335,0.0,,,0.02118709677419355,0.06199375,0.20400000000000001,0.12338611111111113,0.085,,,0.05483870967741936,0.1161294117647059,,-0.014395454545454545,,0.08225,0.01994782608695652,0.026575,,0.011724137931034483,,0.025776562500000003,,,0.046377777777777775,0.09049142857142858,-0.15283333333333332,-0.09434999999999999,0.26425000000000004,0.05856296296296297,-0.0643,,,-0.04933333333333333,,,,,0.10982173913043479,,0.0,,0.07765,0.0,0.0,,,,-0.06015714285714286
2024-09-04,0.07894615384615385,-0.04933333333333333,,,0.0017269230769230788,0.18325833333333333,-0.010411111111111109,0.09611304347826088,0.0,,,-0.021076923076923073,0.02064,,0.06811764705882353,,-0.005904999999999999,0.0851,-0.018013333333333333,,0.03207777777777778,,0.042277777777777775,,,-0.09866666666666667,0.1657578947368421,-0.3182,0.0,-0.148,-0.0185,0.06281666666666667,,,0.06605000000000001,,,,,-0.02114285714285714,,,,0.1257923076923077,0.0,0.0,,,,0.03222592592592593
2024-09-05,0.1266655172413793,0.0,,,0.0,0.004438461538461538,0.255,0.038233333333333334,0.0,,,0.11408846153846156,0.17,,0.004237500000000001,,0.08506904761904763,0.026514285714285712,-0.05464,,0.0023857142857142866,,0.027664516129032254,,,0.11333333333333334,0.07136785714285714,-0.3182,-0.059199999999999996,0.123475,0.0,0.171028125,,,0.0,,,,,0.26153846153846155,,,,0.2632,0.0,0.0,,,,0.05771923076923077
2024-09-06,0.056125,-0.15065714285714285,,,0.11389565217391305,0.10736842105263159,0.0,0.0074,0.0,,,0.07718518518518519,0.042886956521739135,,0.008341176470588237,,0.07945652173913044,-0.03415,0.007841379310344829,,-0.022856,,0.024518181818181824,,,-0.08689999999999999,0.009895000000000001,-0.3182,0.004559999999999997,-0.09486666666666665,-0.0734,0.22671739130434784,,,0.0,,,,,0.22163333333333332,,0.0,,0.028900000000000002,-0.1468,0.024737500000000003,,,,-0.02474782608695652
2024-09-07,-0.1468,-0.4404,,,-0.1468,0.06743333333333333,0.0,-0.17616,,,,0.0,-0.09106666666666667,,,,0.0,0.0,0.09866666666666667,,-0.05194,,0.0,,,0.0,0.0,,,0.0,-0.4404,0.050575,,,0.0,,,,,0.33755,,,,0.2023,-0.4404,0.0,,,,0.0
2024-09-08,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.296,,,,,,,,,,,,,,,,,,0.4215
